id1,id2,weight
0,1,1
0,5,1
1,0,1
1,2,1
1,6,1
2,1,1
2,3,1
2,7,1
3,2,1
3,4,1
3,8,1
4,3,1
4,9,1
5,0,1
5,6,1
5,10,1
6,1,1
6,5,1
6,7,1
6,11,1
7,2,1
7,6,1
7,8,1
7,12,1
8,3,1
8,7,1
8,9,1
8,13,1
9,4,1
9,8,1
9,14,1
10,5,1
10,11,1
10,15,1
11,6,1
11,10,1
11,12,1
11,16,1
12,7,1
12,11,1
12,13,1
12,17,1
13,8,1
13,12,1
13,14,1
13,18,1
14,9,1
14,13,1
14,19,1
15,10,1
15,16,1
15,20,1
16,11,1
16,15,1
16,17,1
16,21,1
17,12,1
17,16,1
17,18,1
17,22,1
18,13,1
18,17,1
18,19,1
18,23,1
19,14,1
19,18,1
19,24,1
20,15,1
20,21,1
21,16,1
21,20,1
21,22,1
22,17,1
22,21,1
22,23,1
23,18,1
23,22,1
23,24,1
24,19,1
24,23,1
